Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
256,BIASE,61338,EL-061338,Exploration License,Valid,DESCHATZE LIMITED,13/06/2024,12/06/2027,86,18.28,Cross River,Akamkpa,"Lithium,Beryl,Tourmaline (green),Gold"
257,Yakurr,62597,EL-062597,Exploration License,Valid,ALTIMA CONSOLIDATED LTD,15/10/2024,14/10/2027,100,21.25,Cross River,"Abi, Obubra, Yakurr","Dolomite,Lead,Lithium,Zinc,Gemstone,Tourmaline (others)"
258,Yakurr,62595,EL-062595,Exploration License,Valid,ALTIMA CONSOLIDATED LTD,15/10/2024,14/10/2027,100,21.25,Cross River,"Abi, Yakurr","Dolomite,Lead,Lithium,Zinc,Gemstone,Tourmaline (others)"
259,Biase,61340,EL-061340,Exploration License,Valid,DESCHATZE LIMITED,09/08/2024,08/08/2027,132,28.05,Cross River,Akamkpa,"Lithium,Tourmaline (green),Gold"
260,BIASE,63426,EL-063426,Exploration License,Valid,CANAAN MICHAELANGELO PROPERTIES LTD,15/11/2024,14/11/2027,5,1.06,Cross River,Biase,"Lithium,Tourmaline (others),Gold"
261,AKAMPKA,53961,SSML-053961,Small Scale Mining Lease,Valid,PONUSA CRUST MINING LIMITED,25/01/2024,24/01/2029,4,0.85,Cross River,Akamkpa,"Lithium,Tantalum,Tourmaline (blue),Baryte,Emeralds,Ruby,Sapphire"
262,,27553,EL-027553,Exploration License,Valid,AE20 INVESTMENTS LIMITED,12/11/2018,11/11/2025,41,8.72,Cross River,"Akamkpa, Biase","Aquamarine,Tourmaline (others),Baryte,Emeralds"
263,,33631,EL-033631,Exploration License,Released,AYELOW CONTINENTAL RESOURCES LIMITED,28/04/2021,27/04/2024,195,41.44,Cross River,Akamkpa,Gold
264,BIASE,38884,EL-038884,Exploration License,Valid,A. A. Y. INTERNATIONAL MINING COMPANY LIMITED,31/08/2023,30/08/2026,8,1.7,Cross River,Biase,"Lithium,Aquamarine,Tourmaline (blue)"
265,,22627,EL-022627,Exploration License,Released,ACHUFA INVESTMENTS LIMITED,28/07/2017,27/07/2024,157,33.39,Cross River,Akamkpa,"Limestone,Marble aggregates"
266,AKAMKPA,62736,QLS-062736,Quarry Lease,Valid,AKAMKPA QUARRY LIMITED,15/10/2024,14/10/2029,10,2.13,Cross River,Akamkpa,Granite
267,,30516,EL-030516,Exploration License,Released,ANAMNET CONSTRUCTION COY LTD,03/12/2019,02/12/2024,525,111.56,Cross River,"Akamkpa, Obubra","Lead,Zinc,Baryte"
268,BIASE,39217,SSML-039217,Small Scale Mining Lease,Valid,SYNERGY MULTIBUSINESS LINKS LIMITED,02/07/2024,01/07/2029,11,2.34,Cross River,Biase,Tourmaline (blue)
