Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
841,PATEGI,44289,EL-044289,Exploration License,Released,KAKAFU EXPLORATIONS AND MINING SERVICES LTD,04/04/2024,03/04/2027,15,3.17,Kwara,Pategi,"Lithium,Feldspar,Beryl,Tourmaline (blue),Gold"
842,,31476,EL-031476,Exploration License,Released,TOPSTAR MINES LTD,29/07/2020,28/07/2023,198,41.91,Kwara,Pategi,Gold
843,"PATEGI, KWARA.",59960,EL-059960,Exploration License,Valid,SAMMAX GLOBAL SERVICES LTD,09/08/2024,08/08/2027,20,4.24,Kwara,Pategi,"Lithium,Tin,Beryl,Tourmaline (others),Gold"
844,ILLORIN EAST,62950,SSML-062950,Small Scale Mining Lease,Valid,HALIJOY INVESTMENT LTD,15/10/2024,14/10/2029,1,0.21,Kwara,Ilorin East,"Lithium,Cassiterite,Gold"
845,PATEGI,63000,SSML-063000,Small Scale Mining Lease,Valid,99 & CO RESOURCES LIMITED,23/10/2024,22/10/2029,2,0.42,Kwara,Pategi,"Mica,Lithium,Gold"
846,,46269,QLS-046269,Quarry Lease,Valid,KEST QUARRY NIGERIA LIMITED,18/03/2024,17/03/2029,3,0.64,Kwara,"Ekiti, Oke-Ero",Granite
847,na,63692,EL-063692,Exploration License,Valid,SKENASA NIGERIA LTD,18/11/2022,17/11/2025,24,5.08,Kwara,Edu,"Tantalum,Tourmaline (blue)"
848,BARUTEN,61083,EL-061083,Exploration License,Valid,MAIDANKALI MINERALS AND MINES ENTERPRISES,15/11/2024,14/11/2027,192,40.51,Kwara,Baruten,"Lithium,Beryl,Gold"
849,KWARA,36848,EL-036848,Exploration License,Blocked,TRISCON SYNERGY LIMITED,09/06/2022,08/06/2025,56,11.86,Kwara,Pategi,Gold
850,EDU,37243,EL-037243,Exploration License,Valid,CONTINENTAL LITHIUM LIMITED,05/08/2022,04/08/2025,119,25.16,Kwara,"Edu, Ifelodun","Mica,Lithium,Tantalum"
851,OYUN,63083,EL-063083,Exploration License,Valid,21ST CENTURY METALLURGY EXPLORATION NIG LTD,23/10/2024,22/10/2027,25,5.29,Kwara,Oyun,"Lithium,Gold"
852,BARUTEN,38407,EL-038407,Exploration License,Blocked,TERA & PICO ENGINEERING AND CONSTRUCTION SERVICES LTD,08/08/2022,07/08/2025,200,42.21,Kwara,Baruten,"Caesium,Cobalt,Lithium,Nickel,Niobium,Tantalum,Tin,Feldspar,Quartz,Talc,Beryl,Tourmaline (blue),Gold"
853,,31332,EL-031332,Exploration License,Released,BTBG NIGERIA LIMITED,21/08/2020,20/08/2025,150,31.7,Kwara,"Ifelodun, Ilorin East, Moro","Lithium,Cassiterite"
854,IFELODUN,62619,EL-062619,Exploration License,Valid,CONRICH MINING LTD,15/10/2024,14/10/2027,10,2.12,Kwara,Ifelodun,"Lithium,Tantalum,Tin,Columbite,Gold"
855,"Kaiama, Kwara",60317,EL-060317,Exploration License,Valid,CALIJOS GLOBAL LIMITED,13/06/2024,12/06/2027,286,60.29,Kwara,Kaiama,"Mica,Lithium,Beryl,Gold"
856,,31333,EL-031333,Exploration License,Released,BTBG NIGERIA LIMITED,29/07/2020,28/07/2025,150,31.71,Kwara,Ifelodun,"Lithium,Cassiterite"
857,Ifelodun,37253,QLS-037253,Quarry Lease,Blocked,CROWNWOOD NIGERIA LIMITED,05/05/2022,04/05/2027,5,1.06,Kwara,Ifelodun,Granite
858,IFELODUN,40431,EL-040431,Exploration License,Blocked,TELE-EUROAFRIK LIMITED,22/05/2023,21/05/2026,400,84.59,Kwara,Ifelodun,Lithium
859,"EDU, KWARA.",59964,SSML-059964,Small Scale Mining Lease,Valid,SAMMAX GLOBAL SERVICES LTD,09/08/2024,08/08/2029,6,1.27,Kwara,Edu,"Lithium,Beryl,Tourmaline (others),Gold"
860,na,40414,EL-040414,Exploration License,Valid,NASAUDE INTERNATIONAL MINING COMPANY LIMITED,18/11/2022,17/11/2025,9,1.9,Kwara,Edu,"Tantalum,Tourmaline (blue)"
861,IFELODUN,61105,SSML-061105,Small Scale Mining Lease,Valid,KAM WIRE AND STEEL INDUSTRY LIMITED,13/06/2024,12/06/2029,14,2.96,Kwara,Ifelodun,"Mica,Tantalum,Beryl"
862,KAIAMA,61796,EL-061796,Exploration License,Valid,MALMID INTERNATIONAL LIMITED,09/08/2024,08/08/2027,53,11.18,Kwara,Kaiama,"Lithium,Gold"
863,ASA,38724,EL-038724,Exploration License,Valid,GREEN SIBERIA LIMITED,27/09/2022,26/09/2025,77,16.27,Kwara,"Asa, Moro","Clay,Lithium,Tantalum,Tin,Quartz,Tourmaline (blue),Columbite"
864,KAIAMA,38538,EL-038538,Exploration License,Released,HAGAR GLOBAL SYNERGY LTD,20/01/2023,19/01/2026,100,21.08,Kwara,Kaiama,"Beryl,Tourmaline (blue)"
865,"KAIMA,KWARA",61855,EL-061855,Exploration License,Valid,HENSON CARAT LTD,23/10/2024,22/10/2027,160,33.73,Kwara,Kaiama,Lithium
866,KWARA,61878,EL-061878,Exploration License,Valid,ASQ DEVELOPMENT AND TRAINING SERVICES LIMITED,15/10/2024,14/10/2027,20,4.23,Kwara,Pategi,"Lithium,Beryl,Gemstone,Tourmaline (others),Gold"
867,ISIN,62666,SSML-062666,Small Scale Mining Lease,Valid,S. G. IMPERIAL CONCEPT LIMITED,23/10/2024,22/10/2029,2,0.42,Kwara,Ifelodun,"Muscovite,Tantalum,Beryl,Iron"
868,Kwara,61199,EL-061199,Exploration License,Valid,APEXLOT LIMITED,13/06/2024,12/06/2027,102,21.5,Kwara,Kaiama,"Lithium,Tin"
869,Baruten,61200,EL-061200,Exploration License,Valid,APEXLOT LIMITED,24/05/2024,23/05/2027,150,31.59,Kwara,Baruten,"Lithium,Gold"
870,KWARA,61414,EL-061414,Exploration License,Valid,SIXIS NIGERIA LIMITED,09/08/2024,08/08/2027,117,24.75,Kwara,"Ifelodun, Oyun",Tantalum
871,KWARA,61876,EL-061876,Exploration License,Valid,ASQ DEVELOPMENT AND TRAINING SERVICES LIMITED,15/10/2024,14/10/2027,14,2.96,Kwara,Pategi,"Lithium,Beryl,Gemstone,Tourmaline (others),Gold"
872,Kwara,36131,SSML-036131,Small Scale Mining Lease,Blocked,TRADE 2 TRADE LIMITED,21/10/2022,20/10/2027,15,3.17,Kwara,Pategi,Gold
873,PATEGI,39876,SSML-039876,Small Scale Mining Lease,Released,BAMBOO TRYBE LIMITED,18/11/2022,17/11/2027,14,2.96,Kwara,Pategi,"Lithium,Beryl,Tourmaline (blue)"
874,,118,ML-000118,Mining Lease,Valid,NORTH-SOUTH EXTRACTIVE COMPANY LIMITED,01/01/2005,31/12/2029,10,2.12,Kwara,Pategi,Talc
875,PATEGI,39875,SSML-039875,Small Scale Mining Lease,Released,BUY STONE NIGERIA LTD,18/11/2022,17/11/2027,14,2.96,Kwara,Pategi,"Lithium,Beryl,Tourmaline (blue)"
876,,35011,EL-035011,Exploration License,Released,KALYBUR ENTERTAINMENT,16/11/2021,15/11/2024,192,40.51,Kwara,Baruten,"Beryl,Gold"
877,KWARA.,61383,EL-061383,Exploration License,Valid,SIXIS NIGERIA LIMITED,15/10/2024,14/10/2027,18,3.8,Kwara,"Kaiama, Moro","Tantalum,Gold"
878,MORO,62774,SSML-062774,Small Scale Mining Lease,Valid,ICONSA ENGINEERING LIMITED,23/10/2024,22/10/2029,4,0.84,Kwara,Moro,"Dolomite,Marble aggregates,Lithium,Quartz"
879,IREPODUN,39603,QLS-039603,Quarry Lease,Valid,GBOSE QUARRIES LIMITED,14/04/2023,13/04/2028,1,0.21,Kwara,Irepodun,Granite
880,Ifelodun,36764,SSML-036764,Small Scale Mining Lease,Blocked,RAJI RASHEED ADISA (RTD),02/08/2022,01/08/2027,15,3.17,Kwara,Ifelodun,"Dolomite,Marble aggregates"
881,"KWARA, KAIAMA",63413,EL-063413,Exploration License,Valid,PANCHIOTI GLOBAL LIMITED,06/11/2024,05/11/2027,40,8.43,Kwara,Kaiama,"Lithium,Gold"
882,Moro,61303,EL-061303,Exploration License,Valid,APEXLOT LIMITED,24/06/2024,23/06/2027,104,21.97,Kwara,Moro,Lithium
883,IFELODUN,37954,SSML-037954,Small Scale Mining Lease,Blocked,SYLVITE PROJECTS NIGERIA LIMITED,08/08/2022,07/08/2027,5,1.06,Kwara,Ifelodun,Lithium
884,IFELODUN,36682,SSML-036682,Small Scale Mining Lease,Blocked,TEMIDAYO OLANREWAJU FALEGAN,24/06/2022,23/06/2027,5,1.06,Kwara,Ifelodun,Gold
885,IFELODUN/IREPODUN,37810,EL-037810,Exploration License,Valid,FLEXTAIL MULTISYSTEM LTD,18/11/2022,17/11/2025,903,191.04,Kwara,"Ifelodun, Irepodun, Isin",Gold
886,,8390,QLS-008390,Quarry Lease,Valid,FOSSIL CONTRUCTION NIGERIA LIMITED,26/06/2010,19/05/2020,1,0.21,Kwara,Ifelodun,Granite
887,MORO,61335,SSML-061335,Small Scale Mining Lease,Valid,AISAS MINING LIMITED,12/07/2024,11/07/2029,15,3.17,Kwara,Moro,Gold
888,KAIAMA,38540,EL-038540,Exploration License,Released,HAGAR GLOBAL SYNERGY LTD,20/01/2023,19/01/2026,100,21.08,Kwara,Kaiama,"Beryl,Tourmaline (blue)"
889,KAIAMA,39863,EL-039863,Exploration License,Released,ABUALIHIM NIG LTD,25/11/2022,24/11/2025,190,40.04,Kwara,Kaiama,"Mica,Tourmaline (blue),Wolframite"
890,na,62920,EL-062920,Exploration License,Valid,SKECC NIGERIA LIMITED,18/11/2022,17/11/2025,28,5.92,Kwara,Edu,"Tantalum,Tourmaline (blue)"
891,Pategi,61298,EL-061298,Exploration License,Valid,APEXLOT LIMITED,24/06/2024,23/06/2027,29,6.14,Kwara,Pategi,"Lithium,Gold"
892,IFELODUN,62808,EL-062808,Exploration License,Valid,DAVIDA OLAOTI NATURAL OIL & GAS NIGERIA LIMITED,20/09/2024,19/09/2027,82,17.35,Kwara,Ifelodun,"Lithium,Gold"
893,MORO,61705,EL-061705,Exploration License,Valid,SPANIAGI LIMITED,15/10/2024,14/10/2027,32,6.76,Kwara,Moro,"Lithium,Niobium,Tin,Gold"
894,,30954,EL-030954,Exploration License,Released,RGM MATERIALS SOLUTION LIMITED,12/02/2020,11/02/2023,82,17.35,Kwara,Ifelodun,"Mica,Barium,Beryl,Tourmaline (others)"
895,IFELODUN,62684,EL-062684,Exploration License,Valid,DAVIDA OLAOTI NATURAL OIL & GAS NIGERIA LIMITED,15/10/2024,14/10/2027,55,11.64,Kwara,"Ifelodun, Isin","Lithium,Gold"
896,,32380,EL-032380,Exploration License,Released,STONEMILL NIGERIA LIMITED,02/10/2020,01/10/2023,31,1.48,Kwara,Ifelodun,Dolomite
897,,18710,SSML-018710,Small Scale Mining Lease,Valid,ARCHITYPE INDUSTRIES NIGERIA LIMITED,08/08/2014,07/08/2029,14,2.96,Kwara,Ifelodun,"Tantalum,Aquamarine,Tourmaline (others),Gold"
898,,33169,EL-033169,Exploration License,Released,TUNTISE INVESTMENTS LIMITED,29/12/2020,28/12/2023,359,75.85,Kwara,Moro,Tantalum
899,IFELODUN,39011,EL-039011,Exploration License,Valid,BUY STONE NIGERIA LTD,17/03/2023,16/03/2026,192,40.6,Kwara,Ifelodun,"Lithium,Beryl,Tourmaline (blue)"
900,KAIAMA,62394,EL-062394,Exploration License,Valid,MIDLINE ENGINEERING LTD,15/10/2024,14/10/2027,52,10.97,Kwara,Kaiama,"Lithium,Tourmaline (others),Gold"
901,,34723,SSML-034723,Small Scale Mining Lease,Blocked,TRISCON SYNERGY LIMITED,13/07/2021,12/07/2026,5,1.06,Kwara,Pategi,Gold
902,Kaiama,61347,EL-061347,Exploration License,Valid,PATHFINDER METALS COMPANY LIMITED,13/06/2024,12/06/2027,20,4.22,Kwara,Kaiama,"Copper,Lithium"
903,,38765,EL-038765,Exploration License,Valid,EL-TAHDAM KAKAFU MINES LTD,07/10/2022,06/10/2025,25,5.29,Kwara,Pategi,Gold
904,"OKE-ERO LGA, KWARA STATE",62131,SSML-062131,Small Scale Mining Lease,Valid,NEW CITY COMMUNITY MODEL FARMS LTD,23/10/2024,22/10/2029,3,0.64,Kwara,Oke-Ero,"Quartz,Chalcopyrite,Galena,Gold,Pyrite"
905,KAIAMA,62525,EL-062525,Exploration License,Valid,HENSON CARAT LTD,15/10/2024,14/10/2027,108,22.75,Kwara,Kaiama,"Mica,Lithium,Cassiterite,Gold,Wolframite"
906,KAIAMA,60114,EL-060114,Exploration License,Valid,DRAKE MULTIGLOBAL RESOURCES LIMITED,13/06/2024,12/06/2027,100,21.09,Kwara,Kaiama,"Lithium,Gold"
907,KWARA,37574,SSML-037574,Small Scale Mining Lease,Blocked,DMW LOVOL ENGINEERING LIMITED,22/04/2022,21/04/2027,10,2.11,Kwara,Baruten,"Lithium,Tantalum"
908,PATEGI,63320,ML-063320,Mining Lease,Valid,KAKAFU EXPLORATIONS AND MINING SERVICES LTD,15/10/2024,14/10/2049,15,3.17,Kwara,Pategi,"Lithium,Feldspar,Beryl,Tourmaline (blue),Gold"
909,Kwara,61197,EL-061197,Exploration License,Valid,APEXLOT LIMITED,24/05/2024,23/05/2027,168,35.45,Kwara,Baruten,"Lithium,Tourmaline (green),Gold"
910,Kwara,61198,EL-061198,Exploration License,Valid,APEXLOT LIMITED,24/05/2024,23/05/2027,144,30.38,Kwara,Baruten,"Lithium,Tourmaline (green),Gold"
911,,28918,EL-028918,Exploration License,Released,KURSI INVESTMENTS LIMITED,09/01/2019,08/01/2024,240,50.68,Kwara,Moro,Gold
912,,34534,EL-034534,Exploration License,Valid,SMC MINING COMPANY LIMITED,25/06/2021,24/06/2026,127,26.87,Kwara,"Ifelodun, Isin","Tantalum,Amethyst,Beryl,Tourmaline (green),Gold"
913,,34521,EL-034521,Exploration License,Released,WAZOBIA SET CONSTRUCTION LIMITED,25/06/2021,24/06/2024,195,41.13,"Kwara, Niger","Kaiama, Mokwa",Gold
914,KAIAMA,53295,EL-053295,Exploration License,Valid,"ZHONGCHENG MINING CO., LTD",02/08/2023,01/08/2026,730,154.04,"Kwara, Niger","Kaiama, Mokwa","Copper,Lithium,Tin,Beryl,Columbite"
915,,33108,EL-033108,Exploration License,Released,ERT-LIGHTHOUSE LIMITED,28/01/2021,27/01/2024,187,39.43,"Kwara, Niger","Kaiama, Borgu",Gold
916,MOKWA,60221,SSML-060221,Small Scale Mining Lease,Valid,NIGERLITE MINING INDUSTRIES LTD,26/08/2024,25/08/2029,15,3.16,"Kwara, Niger","Kaiama, Mokwa",Gold
917,BORGU,58776,EL-058776,Exploration License,Valid,JW FORTE COMPANY LTD,23/10/2024,22/10/2027,40,8.42,"Kwara, Niger","Kaiama, Borgu","Lithium,Gold"
918,,35479,EL-035479,Exploration License,Valid,TRIPLE A GAIA ROYAL LIMITED,19/05/2024,18/05/2027,374,78.88,"Kwara, Niger","Kaiama, Borgu, Mashegu, Mokwa",Gold
919,,33333,EL-033333,Exploration License,Valid,KITORO MINES LTD,15/02/2021,14/02/2026,190,40.01,"Kwara, Niger","Kaiama, Borgu","Gold,Iron"
920,,33087,EL-033087,Exploration License,Released,BTBG NIGERIA LIMITED,29/12/2020,28/12/2025,160,33.86,"Kwara, Osun","Oyun, Odo-Otin",Gold
921,ILA ORANGUN,60319,EL-060319,Exploration License,Valid,WESTMINSTER MINING AND EXPLORATION COMPANY LIMITED,24/05/2024,23/05/2027,47,9.95,"Kwara, Osun","Irepodun, Ila Orangun",Lithium
922,,33089,EL-033089,Exploration License,Released,BTBG NIGERIA LIMITED,29/12/2020,28/12/2025,140,29.63,"Kwara, Osun, Oyo","Oyun, Odo-Otin, Surulere",Gold
923,Kaiama,53865,EL-053865,Exploration License,Valid,SKECC NIGERIA LIMITED,15/12/2023,14/12/2026,28,5.91,"Kwara, Oyo","Kaiama, Irepo","Lithium,Tantalum,Tin,Gold"
924,,35317,EL-035317,Exploration License,Valid,BAGER MINES NIGERIA LIMITED,15/10/2021,14/10/2026,860,181.6,"Kwara, Oyo","Baruten, Saki West",Gold
925,BARUTEN,38435,SSML-038435,Small Scale Mining Lease,Blocked,SKYPRO INVESTMENT LIMITED,16/08/2022,15/08/2027,3,0.63,"Kwara, Oyo","Baruten, Saki West","Caesium,Cobalt,Lithium,Niobium,Feldspar,Quartz,Beryl,Garnet,Tourmaline (blue),Gold"
926,Olorunsogp,61292,EL-061292,Exploration License,Valid,APEXLOT LIMITED,24/06/2024,23/06/2027,155,32.74,"Kwara, Oyo","Asa, Moro, Olorunsogo","Lithium,Tourmaline (green)"
927,Olorunsogo,61291,EL-061291,Exploration License,Valid,APEXLOT LIMITED,24/05/2024,23/05/2027,96,20.28,"Kwara, Oyo","Asa, Olorunsogo","Lithium,Tourmaline (green),Gold"
928,,32398,EL-032398,Exploration License,Released,RESIDENT MINING LIMITED,02/10/2020,01/10/2023,135,28.5,"Kwara, Oyo","Baruten, Saki West","Tantalum,Tin,Columbite"
929,BARUTEN,37042,EL-037042,Exploration License,Blocked,WANGWANG GLOBAL IDUSTRIES LTD,24/06/2022,23/06/2025,696,146.94,"Kwara, Oyo","Baruten, Saki West","Lithium,Beryl,Tourmaline (blue),Baryte"
930,ETI-OSA,40017,QLS-040017,Quarry Lease,Valid,TRIPPLE SEA LIMITED,06/06/2023,20/02/2028,4,0.85,Lagos,"Eti-Osa, Lagos Island",Sand
931,ETI-0SA,40015,QLS-040015,Quarry Lease,Valid,TRIPPLE SEA LIMITED,06/06/2023,20/02/2028,4,0.85,Lagos,Lagos Island,Sand
932,AMUWO-ODOFIN,62126,QLS-062126,Quarry Lease,Valid,DYNAMIC WAYS DEVELOPMENTS COMPANY NIGERIA LIMITED,06/11/2024,05/11/2029,12,2.55,Lagos,"Amuwo-
Odofin",Sand
933,LAGOS,37490,SSML-037490,Small Scale Mining Lease,Valid,REPO- STONE NIGERIA LIMITED,21/02/2023,20/02/2028,3,0.64,Lagos,Ibeju Lekki,Sand
934,IBEJU-LEKKI,39158,SSML-039158,Small Scale Mining Lease,Valid,ZINOIL INTERNATIONAL LIMITED,,,1,0.21,Lagos,Ibeju Lekki,Sand
935,IBEJU-LEKKI,39157,SSML-039157,Small Scale Mining Lease,Valid,IAMTHECORNERSTONE GLOBAL ENTERPRISE,27/09/2022,26/09/2027,1,0.21,Lagos,Ibeju Lekki,Sand
936,,34948,QLS-034948,Quarry Lease,Blocked,AJOK INTEGRATED SERVICES LIMITED,12/08/2021,11/08/2026,2,0.42,Lagos,Badagry,Sand
937,LAGOS,36786,SSML-036786,Small Scale Mining Lease,Valid,RASHOS VENTURES NIGERIA LIMITED,11/11/2022,10/11/2027,5,1.06,Lagos,"Ikorodu, Lagos Island",Sand
938,,33405,SSML-033405,Small Scale Mining Lease,Released,FLAKKY NIGERIA LIMITED,15/02/2021,14/02/2026,5,1.06,Lagos,Lagos Island,Sand
939,ETI-OSA,40024,QLS-040024,Quarry Lease,Valid,TRIPPLE SEA LIMITED,21/02/2023,20/02/2028,4,0.85,Lagos,Eti-Osa,Sand
940,,28292,QLS-028292,Quarry Lease,Released,DIRECT CONSTRUCTION NIG LTD,05/10/2018,04/10/2023,4,0.85,Lagos,"Ikorodu, Kosofe",Sand
941,Awe,61353,EL-061353,Exploration License,Valid,PATHFINDER METALS COMPANY LIMITED,15/10/2024,14/10/2027,35,7.4,Nassarawa,Awe,"Copper,Lead,Zinc"
942,,26990,SSML-026990,Small Scale Mining Lease,Released,MIRABILI DEI PETROCHEMICAL AND GAS W/A LIMITED,15/11/2018,14/11/2028,3,0.63,Nassarawa,Karu,"Tantalum,Gemstone,Gold"
943,,28213,EL-028213,Exploration License,Released,HUDSON BROWN NOMINEES LIMITED,05/10/2018,04/10/2023,87,18.4,Nassarawa,Keana,"Lead,Zinc"
944,KOKONA,59925,SSML-059925,Small Scale Mining Lease,Valid,MANDATE PRODUCTS AND SERVICES LTD,24/04/2024,23/04/2029,5,1.06,Nassarawa,Kokona,"Mica,Lithium,Tantalum,Cassiterite,Columbite,Monazite"
945,Nasarawa,61510,EL-061510,Exploration License,Valid,MYRIAD MINERALS LTD,15/10/2024,14/10/2027,154,32.56,Nassarawa,Awe,"Cobalt,Lithium,Nickel"
946,"KARU LGA, NASARAWA STATE",61919,SSML-061919,Small Scale Mining Lease,Valid,MORTIN CONSULT LTD,30/10/2024,29/10/2029,5,1.05,Nassarawa,Karu,"Lithium,Tantalum,Tin,Cassiterite"
947,,29722,EL-029722,Exploration License,Released,E-RESOURCES NIGERIA NEW ENERGY TECHNOLOGY LIMITED,30/07/2019,29/07/2024,386,81.49,Nassarawa,Kokona,"Mica,Tin,Columbite"
948,,31100,SSML-031100,Small Scale Mining Lease,Blocked,ACRE MERCANTILE LIMITED,26/06/2020,25/06/2025,10,2.11,Nassarawa,Karu,"Tantalum,Tin,Columbite"
949,,34843,EL-034843,Exploration License,Released,MATRIX FERTILIZER LIMITED,12/08/2021,11/08/2024,165,34.81,Nassarawa,"Karu, Kokona","Lead,Lithium,Zinc,Cassiterite"
950,KARU,59345,SSML-059345,Small Scale Mining Lease,Valid,SPARTA DEVELOPMENT LIMITED,23/10/2024,22/10/2029,2,0.42,Nassarawa,Karu,Sand
951,,61680,SSML-061680,Small Scale Mining Lease,Valid,MUKSILDA NIGERIA LIMITED,06/11/2024,05/11/2029,5,1.06,Nassarawa,Lafia,"Lithium,Tantalum,Gemstone,Tourmaline (others)"
952,,35672,EL-035672,Exploration License,Released,WANGWANG GLOBAL IDUSTRIES LTD,15/10/2021,14/10/2024,288,60.91,Nassarawa,"Nassarawa, Toto","Lead,Lithium,Manganese,Zinc,Cassiterite,Columbite"
953,,21517,EL-021517,Exploration License,Released,STRATEGIC METALS LIMITED,12/11/2015,12/11/2015,14,1.27,Nassarawa,Awe,"Copper,Baryte"
954,Awe,61567,EL-061567,Exploration License,Valid,MYRIAD MINERALS LTD,15/10/2024,14/10/2027,68,14.37,Nassarawa,"Awe, Obi","Copper,Nickel,Tourmaline (green)"
955,"KANJE, WAMBA",44159,EL-044159,Exploration License,Valid,OFL TEST PLANT LIMITED,07/06/2023,06/06/2026,109,23.0,Nassarawa,Wamba,"Tantalum,Cassiterite"
956,WAMBA,53714,EL-053714,Exploration License,Valid,BM EXPLORATION LIMITED,14/11/2023,13/11/2026,79,16.67,Nassarawa,Wamba,"Lithium,Tantalum,Cassiterite,Columbite"
957,,28015,EL-028015,Exploration License,Released,MILLIONSTAR INTERNATIONAL LIMITED,06/06/2019,05/06/2022,81,17.09,Nassarawa,Wamba,"Tin,Cassiterite,Columbite"
958,Awe,61351,EL-061351,Exploration License,Valid,PATHFINDER METALS COMPANY LIMITED,15/10/2024,14/10/2027,60,12.68,Nassarawa,Awe,"Copper,Lead,Lithium"
959,,23883,ML-023883,Mining Lease,Valid,COLTAN MINERALS LTD,16/12/2016,02/07/2043,2,0.42,Nassarawa,Nassarawa,"Tantalum,Tin,Beryl,Columbite,Wolframite"
960,KOKONA,61900,SSML-061900,Small Scale Mining Lease,Valid,DAYMAY A. GLOBAL LTD,16/10/2024,15/10/2029,13,2.75,Nassarawa,Nassarawa,"Tantalum,Zinc,Fluorspar/fluorite,Beryl,Cassiterite"
961,,29550,EL-029550,Exploration License,Released,PSB NETWORK NIGERIA LTD,06/06/2019,05/06/2024,100,21.11,Nassarawa,Kokona,Tourmaline (others)
962,KARU,45279,EL-045279,Exploration License,Valid,NASARAWA MINING COMPANY LIMITED,06/07/2023,05/07/2026,37,7.81,Nassarawa,Karu,Gold
963,Awe,61350,EL-061350,Exploration License,Valid,PATHFINDER METALS COMPANY LIMITED,09/08/2024,08/08/2027,62,13.11,Nassarawa,Keana,"Copper,Lead,Zinc"
964,Nasarawa,36504,SSML-036504,Small Scale Mining Lease,Valid,DANIK ESSENCE LIMITED,05/06/2024,04/01/2029,2,0.42,Nassarawa,Nassarawa,"Tantalum,Beryl,Cassiterite"
965,,26685,EL-026685,Exploration License,Released,EL-SHADDAI MINING ASSOCIATES LIMITED,01/02/2018,31/01/2023,190,40.12,Nassarawa,Karu,"Tin,Beryl,Tourmaline (others),Gold"
966,LAFIA,38384,EL-038384,Exploration License,Blocked,ART STAR MINING LIMITED,15/08/2022,14/08/2025,185,39.1,Nassarawa,Doma,Graphite
967,NASARAWA,42923,ML-042923,Mining Lease,Valid,GANFENG LITHIUM INDUSTRY LIMITED,13/02/2023,12/02/2048,189,39.96,Nassarawa,Nassarawa,"Lithium,Feldspar,Kaoline,Quartz"
968,NASARAWA,43909,SSML-043909,Small Scale Mining Lease,Valid,LIDEAL MINES LIMITED,13/09/2024,12/09/2029,2,0.42,Nassarawa,Nassarawa,"Lead,Lithium,Zinc,Fluorspar/fluorite"
969,,33744,EL-033744,Exploration License,Blocked,SAMOSKY ENGINEERING NIG. LTD,08/04/2021,07/04/2024,6,1.27,Nassarawa,Nassarawa-Eggon,Cassiterite
970,KARU,61051,EL-061051,Exploration License,Valid,WIZCHINO ENGINEERING LIMITED,24/05/2024,23/05/2027,102,21.53,Nassarawa,Karu,Gold
971,,25596,EL-025596,Exploration License,Blocked,OPTIMUM MINERAL RESOURCES LTD,28/07/2017,27/07/2022,54,11.41,Nassarawa,Obi,"Lead,Zinc,Baryte"
972,NASARAWA,40684,EL-040684,Exploration License,Valid,TIOLUWA MINING COMPANY LIMITED,16/12/2022,15/12/2025,238,50.32,Nassarawa,Nassarawa,Lithium
973,NASARAWA,40691,EL-040691,Exploration License,Valid,SMC MINING COMPANY LIMITED,16/12/2022,15/12/2025,236,49.89,Nassarawa,Nassarawa,Lithium
974,NASARAWA,44853,EL-044853,Exploration License,Valid,COMPREHENSIVE GEOLOGICAL ENGINEERING COMPANY LIMITED,30/10/2024,29/10/2027,2,0.42,Nassarawa,Nassarawa,"Lithium,Tantalum,Cassiterite,Columbite,Gold"
975,Heri,41164,EL-041164,Exploration License,Valid,CGL MINING DEVELOPMENT CO. LIMITED,23/02/2023,22/02/2026,136,28.75,Nassarawa,Nassarawa,"Lithium,Tantalum,Tourmaline (blue)"
976,,26034,ML-026034,Mining Lease,Valid,STRATEGIC METALS LIMITED,23/05/2024,22/05/2049,6,1.27,Nassarawa,Kokona,"Mica,Lead,Lithium,Tantalum,Zinc,Feldspar,Tourmaline (others),Cassiterite,Columbite"
977,,28325,EL-028325,Exploration License,Released,CONWILDER RESOURCES NIGERIA LIMITED,15/10/2018,14/10/2023,310,65.42,Nassarawa,Karu,"Mica,Tin,Columbite"
978,,27354,SSML-027354,Small Scale Mining Lease,Released,DIVINE AUSTINE INT'L VENTURES LIMITED,28/05/2018,27/05/2028,5,1.06,Nassarawa,"Lafia, Nassarawa-Eggon","Mica,Lithium,Tantalum,Quartz,Beryl"
979,,28726,SSML-028726,Small Scale Mining Lease,Released,NADABO LEAD AND ZINC MINING COMPANY LTD,14/12/2018,13/12/2023,10,2.11,Nassarawa,Karu,Gold
980,KOKONA,40871,EL-040871,Exploration License,Valid,MIXBREED MINING AND AGRO ALLIED NIGERIA LIMITED,27/07/2023,26/07/2026,16,3.38,Nassarawa,Kokona,"Limestone,Quartzite,Lead,Lithium,Aquamarine,Tourmaline (blue),Cassiterite,Baryte"
981,,32838,EL-032838,Exploration License,Released,SUDAN EXPLORATION AND MINING COMPANY LIMITED,24/11/2020,23/11/2023,62,13.11,Nassarawa,Keana,Baryte
982,,31686,EL-031686,Exploration License,Valid,IDAKULA MINERALS GLOBAL LIMITED,29/07/2020,28/07/2023,37,7.81,Nassarawa,"Karu, Kokona","Tin,Tourmaline (others)"
